Price,Close,High,Low,Open,Volume
Ticker,MNDI.L,MNDI.L,MNDI.L,MNDI.L,MNDI.L
Date,,,,,
2023-07-03,1345.455322265625,1352.6032506746524,1322.8350021540157,1328.4103936351285,1422890
2023-07-04,1360.850830078125,1365.799452215615,1338.8572793369103,1344.9055546045556,1664653
2023-07-05,1347.1048583984375,1365.7994497149584,1338.8572768855827,1353.7028992018159,912038
2023-07-06,1327.310791015625,1364.149965560074,1321.2625155083058,1342.1564139473244,1144377
2023-07-07,1335.558349609375,1337.2077683239777,1308.6161761322812,1308.6161761322812,727640
2023-07-10,1330.6097412109375,1341.056751374493,1330.0599756451913,1331.1596288112153,879144
2023-07-11,1344.355712890625,1349.8541007635295,1336.108131081268,1344.355712890625,1281114
2023-07-12,1383.944091796875,1383.944091796875,1342.706182433397,1346.0052639962885,995855
2023-07-13,1395.49072265625,1403.7383043364148,1382.844406339758,1386.6932533835957,1059586
2023-07-14,1421.3331298828125,1424.082323793678,1389.9923437058546,1389.9923437058546,2064848
2023-07-17,1403.1883544921875,1422.432710892139,1401.5389358569544,1414.7350171459684,2040850
2023-07-18,1434.529296875,1442.7768783948666,1402.6386239246099,1403.7382770536865,1872111
2023-07-19,1454.323486328125,1468.6863407273588,1439.4778633150725,1440.5775164948295,1533442
2023-07-20,1463.120849609375,1478.516359111824,1447.175452539704,1454.3233807409686,1462193
2023-07-21,1431.230224609375,1461.4713570423505,1425.1819493089686,1460.3717039062387,1868766
2023-07-24,1435.6290283203125,1443.3267226783005,1422.9827115597311,1422.9827115597311,849168
2023-07-25,1469.718994140625,1469.718994140625,1432.3299318585814,1436.1787789976447,844805
2023-07-26,1473.5677490234375,1476.3169428127248,1456.522820750572,1468.069361444863,630154
2023-07-27,1499.41015625,1512.606359747428,1480.7156871718014,1482.3652278632958,1149351
2023-07-28,1501.0596923828125,1503.8088861821118,1483.4648764742033,1492.812110984915,622818
2023-07-31,1501.609619140625,1512.0565070367604,1491.1626092099605,1493.911803080999,961990
2023-08-01,1491.16259765625,1502.7092606389592,1483.1449291580361,1497.7607605232427,988983
2023-08-02,1468.6192626953125,1476.3169565632033,1446.0758245993763,1472.468109629258,2680129
2023-08-03,1369.6483154296875,1442.7768969182891,1355.8308338192805,1432.879774560477,2770390
2023-08-04,1444.42626953125,1445.5260446738855,1349.3042621100412,1349.3042621100412,1637723
2023-08-07,1443.32666015625,1452.673894910199,1425.7318437897825,1433.9794254023013,1369350
2023-08-08,1424.6322021484375,1437.828284021179,1415.2849673190349,1430.1305899345014,1878117
2023-08-09,1421.883056640625,1441.1274145467144,1419.1338626540407,1434.529373385819,850226
2023-08-10,1429.0308837890625,1430.130536898589,1416.384567943194,1425.7318024259575,1133792
2023-08-11,1418.0341796875,1426.2817614740527,1413.0855573948493,1418.0341796875,1190378
2023-08-14,1417.4842529296875,1429.0309159256956,1415.2849466611756,1418.0341405140796,800436
2023-08-15,1400.439208984375,1421.8829943612002,1395.4907088390846,1418.034147355471,596235
2023-08-16,1405.9376220703125,1418.0341729272134,1398.7898155170017,1400.4392342388235,822380
2023-08-17,1397.6900634765625,1415.2850024564218,1396.0406447274172,1397.1402979050251,695970
2023-08-18,1386.1434326171875,1401.5389422138828,1377.895851265514,1393.8411263982725,975888
2023-08-21,1392.7415771484375,1399.3396183148875,1381.1949135812495,1381.1949135812495,836955
2023-08-22,1404.2882080078125,1414.1852085097053,1385.0438505337495,1391.641891546522,2964154
2023-08-23,1407.587158203125,1420.7833621760715,1400.439229638762,1407.587158203125,754861
2023-08-24,1382.294677734375,1416.9344240894595,1378.4457085531137,1416.9344240894595,500742
2023-08-25,1393.2913818359375,1406.4874633834504,1382.8443720791734,1385.0438003601103,1003429
2023-08-29,1438.927978515625,1439.0115721711131,1410.8862732217062,1410.8862732217062,1104820
2023-08-30,1448.2752685546875,1460.9214626125151,1441.6771056998737,1442.7768808653614,1968012
2023-08-31,1444.9761962890625,1463.6706657374914,1444.9761962890625,1447.7253901511567,2313707
2023-09-01,1444.42626953125,1456.5228198240393,1437.8282288480627,1448.275238461424,1127260
2023-09-04,1437.8282470703125,1457.6224914052607,1436.7285939482658,1453.7736444608338,365220
2023-09-05,1427.93115234375,1441.1273561654857,1423.532539771034,1427.381386789425,1253785
2023-09-06,1425.1820068359375,1431.2302823804805,1410.8862714203874,1417.4843125379132,838720
2023-09-07,1438.378173828125,1464.2205720555062,1418.034163395273,1418.034163395273,1593891
2023-09-08,1420.2333984375,1442.2269485120664,1413.0854702563613,1440.0276423184193,1243996
2023-09-11,1435.0791015625,1443.8765709041104,1419.6835912319475,1419.6835912319475,507030
2023-09-12,1414.1851806640625,1449.9247009836026,1411.9858743812872,1441.1273538179719,1100190
2023-09-13,1431.7801513671875,1437.0255616482505,1409.236712304749,1415.834753336465,953820
2023-09-14,1450.474609375,1459.2720787013377,1429.0309456895316,1435.6289866670195,1202541
2023-09-15,1470.268798828125,1476.3169519814037,1451.024442183597,1462.0212174090416,3524544
2023-09-18,1518.104736328125,1548.3458679924445,1480.7156764089702,1482.9149826252924,1826637
2023-09-19,1511.5067138671875,1534.5999175550808,1507.1079793469871,1520.3040608730614,2688462
2023-09-20,1509.857177734375,1521.403718595981,1491.712474055249,1516.455218517368,1620159
